1,Jibraan M,07/01/21,5,
6,John Dyer,02/03/21,5,
7,Gary Sweers,12/03/21,5,
11,francisco ponce,01/04/21,5,
12,Gwen Conner,04/04/21,5,I called them with questions.  The gentleman was very friendly and informative.
16,Marco Cajina,02/05/21,5,Going to contact them later
17,Vicky Farless,09/05/21,5,
18,Patricia Whitehurst,29/05/21,5,
19,Bailey Browning,19/07/21,5,
22,Lanie,09/08/21,5,Danielle fence provided us with a beautiful product and staff were incredibly knowledgeable.  They helped us navigate a difficult HOA approval process and executed perfectly.
23,Erin Koza,09/08/21,5,"I am so pleased with our new vinyl fencing.  Luis and his crew were on time, professional, and extremely knowledgeable.  I asked for the fence to hug the ground to block cane toads and prevent my little dog from escaping and they did an awesome job.  Thank you!"
26,Dennis Suarez,21/09/21,5,From start to finish I could not be happier. They took care of everything Hoa approval etc. installation crew was 100% on the money I highly recommend them
27,Tone LoKi,04/10/21,5,
30,John Saccucci,19/11/21,5,Whether it's by phone or you just show up they're extremely polite and helpful.
31,Tiffany Sealscott,04/01/22,5,"From start to finish it was a great experience. From David my sales guy, to the ladies in the office and my FABULOUS installer Mark and his crew. I can't thank you enough!!!"
32,Tammy Graves,07/01/22,5,"I can not say enough good things about this company.  When I couldn't get anyone else to come put up my 8ft vinyl privacy fence Danielle Fence was the only one to come through. On time, professional and I love my fence!!! I will always use them and refer them to others."
33,SALSERA DIVA,08/01/22,5,They have excellent customer service and quality materials.
34,craig jasin,13/01/22,5,This place has tons of fence supplies in stock!  Def recommended.
35,Carlos Zayas,01/02/22,5,"The whole process was seemless , professional and installation was outstanding. The crew arrived on time. Kudos to the whole team. I plan on utilizing this company again.... highly recommend!"
36,jacqueline chico,03/02/22,5,"I cannot expression the great experience i had with Danielle fence from the time someone came to give me the estimate to the day of installation the crew came on time and got to work was always in contact with me if there was an issue, very good company and i am definitely going to refer them to anyone who ask me"
37,Thomas Smith,26/02/22,5,Great fence!
38,gerardo gomez,20/03/22,5,
39,Arsene Wenger,01/04/22,5,"Excellent.Very proffetional and helpful.
Very clean and neat work."
